node_number,level,idx,priority,d_exec_t,c_exec_t,period,isSource,isSink,parent,child
1,0,1,1,0.01,38.0,1000,True,False,[],"[1, 2]"
2,1,1,1,0.07,40.0,100,False,False,[0],"[4, 5, 8]"
3,1,2,1,0.15,13.0,100,False,False,[0],"[3, 6, 7, 11]"
4,2,1,1,0.09,6.0,100,False,False,[2],"[11, 7]"
5,2,2,1,0.14,4.0,100,False,False,[1],[10]
6,2,3,1,0.14,6.0,100,False,False,[1],"[11, 7]"
7,2,4,1,0.04,26.0,100,False,False,[2],[9]
8,3,1,1,0.1,39.0,100,False,False,"[2, 3, 5]",[11]
9,3,2,1,0.05,15.0,100,False,False,[1],[11]
10,3,3,1,0.07,27.0,100,False,False,[6],[10]
11,4,1,1,0.13,8.0,100,False,False,"[4, 9]",[12]
12,4,2,1,0.14,34.0,100,False,False,"[2, 3, 5, 7, 8]",[12]
13,5,1,1,0.02,28.0,100,False,True,"[10, 11]",[]
